Business Name,Area,Category,Google Maps URL,Address,Phone,Website,Rating,Review Count,Plus Code,Hours,Error
The Business Park - by Pranava Group,Kondapur,business center,https://www.google.com/maps/place/The+Business+Park+-+by+Pranava+Group/data=!4m7!3m6!1s0x3bcb93d9386c7889:0xd02656c995193b7e!8m2!3d17.4612754!4d78.3674508!16s%2Fg%2F11lfzt5z_j!19sChIJiXhsONmTyzsRfjsZlclWJtA?authuser=0&hl=en&rclk=1,"Pranava Group, beside Harsha toyota showroom, Land Mark Residency, Kothaguda, Hyderabad, Telangana 500084",,,4.4,39,"F968+GX Kothaguda, Telangana",· Opens 10:30 am; Wednesday 10:30 am–6 pm; Thursday 10:30 am–6 pm; Friday 10:30 am–6 pm; Saturday 10:30 am–6 pm; Sunday 10:30 am–6 pm; Monday 10:30 am–6 pm; Tuesday 10:30 am–6 pm,
VSP Business Center,Kondapur,business center,https://www.google.com/maps/place/VSP+Business+Center/data=!4m7!3m6!1s0x3bcb93b52eaa680d:0xfa2521d0d519fa53!8m2!3d17.4597408!4d78.3491296!16s%2Fg%2F11zgcws51g!19sChIJDWiqLrWTyzsRU_oZ1dAhJfo?authuser=0&hl=en&rclk=1,"11th floor, Asian Sun City Suit:1011, Kondapur, Sri Ramnagar - Block C, Gachibowli, Hyderabad, Telangana 500084",,,,,"F85X+VM Hyderabad, Telangana",,
Mahaveer The Watermark,Kondapur,business center,https://www.google.com/maps/place/Mahaveer+The+Watermark/data=!4m7!3m6!1s0x3bcb93c500c6b2ed:0xf1565f82e809327e!8m2!3d17.454176!4d78.3709691!16s%2Fg%2F11ckwbpd9l!19sChIJ7bLGAMWTyzsRfjIJ6IJfVvE?authuser=0&hl=en&rclk=1,"9, White Field Rd, Kondapur, Whitefields, Gachibowli, Hyderabad, Telangana 500084",,,4.2,568,"F93C+M9 Whitefields, Kondapur, Gachibowli, Kondapur, Hyderabad, Telangana",· Opens 9:30 am; · Opens 9:30 am,
Regus,Kondapur,business center,https://www.google.com/maps/place/Regus/data=!4m7!3m6!1s0x3bcb9390c29cee25:0x540a1f2df800efc7!8m2!3d17.4643817!4d78.3677019!16s%2Fg%2F11ty2vgjr0!19sChIJJe6cwpCTyzsRx-8A-C0fClQ?authuser=0&hl=en&rclk=1,"Gachibowli - Miyapur Road Kondapur, Serilingampall, Level 4, Kothari Centrum Plot Nos # 12, Hyderabad, Telangana 500084",,,4.3,17,"F979+Q3 Hyderabad, Telangana",,
Galaxy Apartments,Kondapur,apartments,https://www.google.com/maps/place/Galaxy+Apartments/data=!4m7!3m6!1s0x3bcb92497f587083:0xeaf4144b6f4e19e3!8m2!3d17.4720857!4d78.3588236!16s%2Fg%2F11f1jx2r7d!19sChIJg3BYf0mSyzsR4xlOb0sU9Oo?authuser=0&hl=en&rclk=1,"Sy No. 74, Block-E, RTO, Galaxy Apartment Rd, Kondapur, Raghavendra Colony, Kondapur, Hyderabad, Telangana 500084",095506 77444,,4.3,710,"F9C5+RG Hyderabad, Telangana",· Closes 1:30 am · Reopens 8:30 pm,
Vajra Sree Nivasam,Kondapur,apartments,https://www.google.com/maps/place/Vajra+Sree+Nivasam/data=!4m7!3m6!1s0x3bcb9235363831a3:0x524b51b7ae242138!8m2!3d17.4679959!4d78.3628272!16s%2Fg%2F11xmgb7ff!19sChIJozE4NjWSyzsROCEkrrdRS1I?authuser=0&hl=en&rclk=1,"Survey No, A Block, 69, High-Tension Line Road, opposite RTO Office, Kondapur, Raghavendra Colony, Gachibowli, Hyderabad, Telangana 500084",,,4.1,739,"F997+54 Raghavendra Colony, Gachibowli, Hyderabad, Telangana",,
Luxor Appartments,Kondapur,apartments,https://www.google.com/maps/place/Luxor+Appartments/data=!4m7!3m6!1s0x3bcb92547653282d:0x30b33648de7fe314!8m2!3d17.470148!4d78.3444776!16s%2Fg%2F11bwl1v188!19sChIJLShTdlSSyzsRFON_3kg2szA?authuser=0&hl=en&rclk=1,"Luxor Apartment, Masjid Banda Rd, near Cyber Meadows Society, Kondapur, Sree Prabhupada Twp, Serilingampalle (M), Hyderabad, Telangana 500084",,,4.0,688,"F8CV+3Q Sree Prabhupada Twp, Serilingampalle (M), Hyderabad, Telangana",· Opens 8:30 am,
Prime Legend,Kondapur,apartments,https://www.google.com/maps/place/Prime+Legend/data=!4m7!3m6!1s0x3bcb93aceeddcce5:0xab83b2cd153e37d3!8m2!3d17.4644119!4d78.3463583!16s%2Fg%2F11b6pzy82m!19sChIJ5czd7qyTyzsR0zc-Fc2yg6s?authuser=0&hl=en&rclk=1,"F87W+QG9 Botanical Garden Road, Masjid Banda Rd, Kondapur, Camelot Layout, Telangana 500084",,,4.3,447,"F87W+QG9 Botanical Garden Road, Masjid Banda Rd, Kondapur, Camelot Layout, Telangana 500084",,
Pranavas Lotus Park,Kondapur,apartments,https://www.google.com/maps/place/Pranavas+Lotus+Park/data=!4m7!3m6!1s0x3bcb93c9f267d77f:0x8592468252866068!8m2!3d17.4611087!4d78.3628345!16s%2Fg%2F12hv1n5z5!19sChIJf9dn8smTyzsRaGCGUoJGkoU?authuser=0&hl=en&rclk=1,"Pranavas, Lotus park, Kondapur, Safari Nagar, Prashanth Nagar Colony, Gachibowli, Hyderabad, Telangana 500084",,,4.2,307,"F967+C4 Prashanth Nagar Colony, Kondapur, Gachibowli, Kondapur, Hyderabad, Telangana",,
Pavani Aqua,Kondapur,apartments,https://www.google.com/maps/place/Pavani+Aqua/data=!4m7!3m6!1s0x3bcb93aca9926315:0xb0722bd9f2142292!8m2!3d17.4663412!4d78.3448706!16s%2Fg%2F11bvv5h290!19sChIJFWOSqayTyzsRkiIU8tkrcrA?authuser=0&hl=en&rclk=1,"Pavani Aqua, Botanical Garden Rd, Masjid Banda, CMC Enclave, Gachibowli, Hyderabad, Telangana 500084",,,4.3,77,"F88V+GW Hyderabad, Telangana",,
Ruby n Pearl Apartments,Kondapur,apartments,https://www.google.com/maps/place/Ruby+n+Pearl+Apartments/data=!4m7!3m6!1s0x3bcb93ad7afb5fa5:0x3e22064ec9451bbd!8m2!3d17.4642864!4d78.3493263!16s%2Fg%2F12hln3h50!19sChIJpV_7eq2TyzsRvRtFyU4GIj4?authuser=0&hl=en&rclk=1,"84, High St, behind CHIREC International School, Kondapur, Laxmi Nagar, Gautami Enclave, Gachibowli, Hyderabad, Telangana 500084",,,4.3,105,"F87X+PP Gautami Enclave, Kondapur, Gachibowli, Kondapur, Hyderabad, Telangana",,
My Home Mangala,Kondapur,apartments,https://www.google.com/maps/place/My+Home+Mangala/data=!4m7!3m6!1s0x3bcb93f4c1bc2c63:0x145f5947f8516a6!8m2!3d17.4743634!4d78.3480049!16s%2Fg%2F11gmx6547l!19sChIJYyy8wfSTyzsRphaFf5T1RQE?authuser=0&hl=en&rclk=1,"Kondapur, KMR Estates, Kondapur, Serilingampalle (M), Hyderabad, Telangana 500084",,,4.1,303,"F8FX+P6 Serilingampalle (M), Telangana",Wednesday 10 am–5:30 pm; Thursday 10 am–5:30 pm; Friday 10 am–5:30 pm; Saturday 10 am–5:30 pm; Sunday 10 am–5:30 pm; Monday 10 am–5:30 pm; Tuesday 10 am–5:30 pm,
Bollineni Bion,Kondapur,apartments,https://www.google.com/maps/place/Bollineni+Bion/data=!4m7!3m6!1s0x3bcb938bb5de85a7:0x67c82aef6775f3c0!8m2!3d17.4582146!4d78.3623961!16s%2Fg%2F11fls2p4t8!19sChIJp4XetYuTyzsRwPN1Z-8qyGc?authuser=0&hl=en&rclk=1,"Kothaguda, opposite Botanical Garden Road, Kondapur, Telangana 500084",095130 56155,,4.1,219,"F956+7X Kondapur, Hyderabad, Telangana",,
Akshara’s Meadows,Kondapur,apartments,https://www.google.com/maps/place/Akshara%E2%80%99s+Meadows/data=!4m7!3m6!1s0x3bcb924d1a2ea51d:0xfa33608c6470766c!8m2!3d17.4668376!4d78.3536778!16s%2Fg%2F11bx9ch_mk!19sChIJHaUuGk2SyzsRbHZwZIxgM_o?authuser=0&hl=en&rclk=1,"Plot No. 492, near Hyundai Service Center, Kondapur, Raja Rajeshwara Nagar, Kondapur, Hyderabad, Telangana 500084",,,4.3,80,"F983+PF Hyderabad, Telangana",,
Sri Ram Residency,Kondapur,apartments,https://www.google.com/maps/place/Sri+Ram+Residency/data=!4m7!3m6!1s0x3bcb93861be50491:0x9d972e139e9207ea!8m2!3d17.4734155!4d78.3622401!16s%2Fg%2F11t25q3k1p!19sChIJkQTlG4aTyzsR6geSnhMul50?authuser=0&hl=en&rclk=1,"Kondapur, Raghavendra Colony, Gachibowli, Hyderabad, Telangana 500084",,,4.9,332,"F9F6+9V Raghavendra Colony, Gachibowli, Hyderabad, Telangana",,
Pristine Apartments,Kondapur,apartments,https://www.google.com/maps/place/Pristine+Apartments/data=!4m7!3m6!1s0x3bcb93b2c5d052e7:0x68feef46479cc4d0!8m2!3d17.4658759!4d78.3517349!16s%2Fg%2F1pzt980x7!19sChIJ51LQxbKTyzsR0MScR0bv_mg?authuser=0&hl=en&rclk=1,"F982+9M5, Kondapur, Gautami Enclave, Gachibowli, Hyderabad, Telangana 500084",,,4.2,97,"F982+9M5, Kondapur, Gautami Enclave, Gachibowli, Hyderabad, Telangana 500084",,
AR Infra Green Valley Apartments,Kondapur,apartments,https://www.google.com/maps/place/AR+Infra+Green+Valley+Apartments/data=!4m7!3m6!1s0x3bcb923539f658ef:0x2d7fba1d9e07033!8m2!3d17.4677052!4d78.3637057!16s%2Fg%2F11cjnbfnp3!19sChIJ71j2OTWSyzsRM3Dg2aH71wI?authuser=0&hl=en&rclk=1,"Plot No: 296C, H.No:1-111/1/c/296, Road No.1c, Kondapur, Raghavendra Colony, Telangana 500084",,,4.2,57,"F997+3F Raghavendra Colony, Gachibowli, Hyderabad, Telangana",,
