Business Name,Area,Category,Google Maps URL,Address,Phone,Website,Rating,Review Count,Plus Code,Hours,Error
Pink Bowl - Hitech City,Hitech City,restaurants,https://www.google.com/maps/place/Pink+Bowl+-+Hitech+City/data=!4m7!3m6!1s0x3bcb93f55a471671:0x7e5324c170392fed!8m2!3d17.4463608!4d78.3802415!16s%2Fg%2F11z0n8j7ch!19sChIJcRZHWvWTyzsR7S85cMEkU34?authuser=0&hl=en&rclk=1,"Hno. 1-90/7/B/31, Flamount Hotel, Behind Medicover Hospital Patrika Nagar Hitech city, Madhapur, Hyderabad, Telangana 500081",089770 46027,,5.0,51,"C9WJ+G3 Hyderabad, Telangana",· Closes 2:30 am; Tuesday 7:30 am–2:30 am; Wednesday 7:30 am–2:30 am; Thursday 7:30 am–2:30 am; Friday 7:30 am–2:30 am; Saturday 7:30 am–2:30 am; Sunday 7:30 am–2:30 am; Monday 7:30 am–2:30 am,
Am Aha Kitchen and Bar - Hitec City,Hitech City,restaurants,https://www.google.com/maps/place/Am+Aha+Kitchen+and+Bar+-+Hitec+City/data=!4m7!3m6!1s0x3bcb930006241309:0xeec3712a6d73211!8m2!3d17.4505781!4d78.3792165!16s%2Fg%2F11yrh07dpg!19sChIJCRMkBgCTyzsRETLXphI37A4?authuser=0&hl=en&rclk=1,"beside Trident Hotel, Patrika Nagar, HITEC City, Hyderabad, Telangana 500081",090108 36789,,4.7,"1,158","F92H+6M Hyderabad, Telangana",· 11:30 pm · Opens 12 pm Wed; Tuesday 12–11:30 pm; Wednesday 12–11:30 pm; Thursday 12–11:30 pm; Friday 12–11:30 pm; Saturday 12–11:30 pm; Sunday 12–11:30 pm; Monday 12–11:30 pm,
Exotica Hitech City- North Indian Rooftop Restaurant,Hitech City,restaurants,https://www.google.com/maps/place/Exotica+Hitech+City-+North+Indian+Rooftop+Restaurant/data=!4m7!3m6!1s0x3bcb9336745780ff:0x365a8f19b9500014!8m2!3d17.4562967!4d78.3765763!16s%2Fg%2F11j8f_jd06!19sChIJ_4BXdDaTyzsRFABQuRmPWjY?authuser=0&hl=en&rclk=1,"7th Floor, Unit No 7 A, Business Square Building, Jubilee Enclave Hitech City, opp. Hitex Entrance, Madhapur, Hyderabad, Telangana 500081",096520 65500,,4.3,"5,854","F94G+GJ Hyderabad, Telangana",· 11:30 pm · Opens 12 pm Wed,
Google Maps,Hitech City,restaurants,https://www.google.com/maps/place/Ala+Dakshinapuramlo+-+Hitech+City/data=!4m7!3m6!1s0x3bcb915e34231659:0x7844bf7553884bf5!8m2!3d17.4479511!4d78.3789593!16s%2Fg%2F11khvhhx3f!19sChIJWRYjNF6RyzsR9UuIU3W_RHg?authuser=0&hl=en&rclk=1,,,,,,,,
Google Maps,Hitech City,restaurants,"https://www.google.com/maps/place/ASF+-+Ancient+Stone+Flames%7C+Buffet+BBQ+Grill+%7C+Hi+Tech+City,+Hyderabad/data=!4m7!3m6!1s0x3bcb93855fdcc77d:0x6659dd838bfdf5d3!8m2!3d17.4480708!4d78.384591!16s%2Fg%2F11lch6_tv_!19sChIJfcfcX4WTyzsR0_X9i4PdWWY?authuser=0&hl=en&rclk=1",,,,,,,,
Google Maps,Hitech City,restaurants,https://www.google.com/maps/place/Kanchi+Cafe+Hitech+City/data=!4m7!3m6!1s0x3bcb93805612e8ef:0x5100deb7fe87d109!8m2!3d17.4454712!4d78.3776707!16s%2Fg%2F11v0b53gvl!19sChIJ7-gSVoCTyzsRCdGH_rfeAFE?authuser=0&hl=en&rclk=1,,,,,,,,
Anthe Kitchen,Hitech City,restaurants,https://www.google.com/maps/place/Anthe+Kitchen/data=!4m7!3m6!1s0x3bcb93a5d7e23177:0x3ed9b8e5839c6873!8m2!3d17.4414579!4d78.3762879!16s%2Fg%2F11vjw5xdvh!19sChIJdzHi16WTyzsRc2icg-W42T4?authuser=0&hl=en&rclk=1,"2nd Floor, CyberGrub, Hitech City Main Rd, opp. to Mind space, Phase 2, HITEC City, Hyderabad, Telangana 500081",092549 45454,,4.0,"1,448","C9RG+HG Hyderabad, Telangana",· Opens 11:30 am Wed; Tuesday 11:30 am–4 pm; Wednesday 11:30 am–4 pm; Thursday 11:30 am–4 pm; Friday 11:30 am–11 pm; Saturday 11:30 am–11 pm; Sunday 11:30 am–11 pm; Monday 11:30 am–4 pm,
Telangana Spice Kitchen - Hitech City,Hitech City,restaurants,https://www.google.com/maps/place/Telangana+Spice+Kitchen+-+Hitech+City/data=!4m7!3m6!1s0x3bcb93d021063119:0x5438c00658d04b3f!8m2!3d17.4304309!4d78.3788813!16s%2Fg%2F11wfy43t4s!19sChIJGTEGIdCTyzsRP0vQWAbAOFQ?authuser=0&hl=en&rclk=1,"Gate 7, Sattva Knowledge Park, Silpa Gram Craft Village, HITEC City, Hyderabad, Telangana 500084",089883 58888,,4.5,"1,490","C9JH+5H Hyderabad, Telangana",· 11:30 pm · Opens 12 pm Wed; Tuesday 12–11:30 pm; Wednesday 12–11:30 pm; Thursday 12–11:30 pm; Monday 12–11:30 pm,
Pakka Local Hitech City,Hitech City,restaurants,https://www.google.com/maps/place/Pakka+Local+Hitech+City/data=!4m7!3m6!1s0x3bcb939ba692483b:0x27a54f12344cdff0!8m2!3d17.4457272!4d78.3777558!16s%2Fg%2F11thhfctv_!19sChIJO0iSppuTyzsR8N9MNBJPpSc?authuser=0&hl=en&rclk=1,"Hardhik Crown Building, Plot 18, Sector 2, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081",098858 68886,,4.6,"6,257","C9WH+74 Hyderabad, Telangana",,
Hard Rock Cafe Hitech City Hyderabad,Hitech City,restaurants,https://www.google.com/maps/place/Hard+Rock+Cafe+Hitech+City+Hyderabad/data=!4m7!3m6!1s0x3bcb978d6eab43a5:0x87e99831f5d07e13!8m2!3d17.4335407!4d78.3828107!16s%2Fg%2F11q_2s7jvd!19sChIJpUOrbo2XyzsRE37Q9TGY6Yc?authuser=0&hl=en&rclk=1,"SALARPURIA SATTVA KNOWLEDGE CITY, Plot No. 2, Phase 1, HITEC City, Rai Durg, Hyderabad, Telangana 500032",072079 11032,,4.4,"2,625","C9MM+C4 Rai Durg, Telangana",· 11:30 pm · Opens 12 pm Wed; Tuesday 12–11:30 pm; Wednesday 12–11:30 pm; Thursday 12–11:30 pm; Friday 12 pm–12:30 am; Saturday 12 pm–12:30 am; Sunday 12–11:30 pm; Monday 12–11:30 pm,
